09:39:31.020 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:39:32.780 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:44:10.112 | INFO  | nukr.profile-state | Connecting Ed and nil
09:44:10.116 | INFO  | nukr.profile-state | Removing Ed from storage.
09:44:10.117 | INFO  | nukr.profile-state | Removing nil from storage.
09:44:10.117 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{nil}, :hidden false} to storage.
09:44:10.117 | INFO  | nukr.profile-state | Adding {:connections (Ed)} to storage.
09:45:12.558 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:45:14.254 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:50:09.546 | INFO  | nukr.profile-state | Connecting Ed and nil
09:50:09.548 | INFO  | nukr.profile-state | Removing Ed from storage.
09:50:09.548 | INFO  | nukr.profile-state | Removing nil from storage.
09:50:09.549 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
09:50:09.549 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
09:50:51.001 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:50:53.612 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:51:04.043 | INFO  | nukr.profile-state | Connecting Ed and Cris
09:51:04.045 | INFO  | nukr.profile-state | Removing Ed from storage.
09:51:04.045 | INFO  | nukr.profile-state | Removing Cris from storage.
09:51:04.046 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
09:51:04.046 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
09:55:10.066 | INFO  | nukr.profile-state | Adding {:name Rafa, :connections #{}, :hidden false} to storage.
09:55:57.458 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:55:59.757 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:58:09.967 | INFO  | nukr.profile-state | Connecting Ed and nil
09:58:09.970 | INFO  | nukr.profile-state | Removing Ed from storage.
09:58:09.971 | INFO  | nukr.profile-state | Removing nil from storage.
09:58:09.971 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{nil}, :hidden false} to storage.
09:58:09.971 | INFO  | nukr.profile-state | Adding {:connections (Ed)} to storage.
09:59:14.748 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:59:16.874 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:59:22.626 | INFO  | nukr.profile-state | Connecting Ed and Cris
09:59:22.628 | INFO  | nukr.profile-state | Removing Ed from storage.
09:59:22.629 | INFO  | nukr.profile-state | Removing Cris from storage.
09:59:22.629 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
09:59:22.629 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
09:59:36.049 | INFO  | nukr.profile-state | Adding {:name Rafa, :connections #{}, :hidden false} to storage.
10:00:02.258 | INFO  | nukr.profile-state | Connecting Rafa and nil
10:00:02.258 | INFO  | nukr.profile-state | Removing Rafa from storage.
10:00:02.259 | INFO  | nukr.profile-state | Removing nil from storage.
10:00:02.259 | INFO  | nukr.profile-state | Adding {:name Rafa, :connections #{nil}, :hidden false} to storage.
10:00:02.259 | INFO  | nukr.profile-state | Adding {:connections (Rafa)} to storage.
10:00:55.150 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:00:57.466 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:01:11.592 | INFO  | nukr.profile-state | Connecting Ed and nil
10:01:11.594 | INFO  | nukr.profile-state | Removing Ed from storage.
10:01:11.594 | INFO  | nukr.profile-state | Removing nil from storage.
10:01:11.595 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{nil}, :hidden false} to storage.
10:01:11.595 | INFO  | nukr.profile-state | Adding {:connections (Ed)} to storage.
10:01:43.424 | INFO  | nukr.profile-state | Connecting Ed and nil
10:01:43.425 | INFO  | nukr.profile-state | Removing Ed from storage.
10:01:43.425 | INFO  | nukr.profile-state | Removing nil from storage.
10:01:43.425 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{nil}, :hidden false} to storage.
10:01:43.425 | INFO  | nukr.profile-state | Adding {:connections (Ed Ed)} to storage.
10:02:14.627 | INFO  | nukr.profile-state | Connecting Ed and nil
10:02:14.628 | INFO  | nukr.profile-state | Removing Ed from storage.
10:02:14.629 | INFO  | nukr.profile-state | Removing nil from storage.
10:02:14.629 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{nil}, :hidden false} to storage.
10:02:14.629 | INFO  | nukr.profile-state | Adding {:connections (Ed Ed Ed)} to storage.
10:02:45.947 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:02:48.339 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:02:58.886 | INFO  | nukr.profile-state | Connecting Cris and nil
10:02:58.890 | INFO  | nukr.profile-state | Removing Cris from storage.
10:02:58.890 | INFO  | nukr.profile-state | Removing nil from storage.
10:02:58.890 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:02:58.891 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:05:16.317 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:05:18.118 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:05:19.919 | INFO  | nukr.profile-state | Connecting Cris and nil
10:05:19.922 | INFO  | nukr.profile-state | Removing Cris from storage.
10:05:19.924 | INFO  | nukr.profile-state | Removing nil from storage.
10:05:19.924 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:05:19.924 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:06:35.901 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:06:37.538 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:06:39.834 | INFO  | nukr.profile-state | Connecting Cris and nil
10:06:39.837 | INFO  | nukr.profile-state | Removing Cris from storage.
10:06:39.837 | INFO  | nukr.profile-state | Removing nil from storage.
10:06:39.837 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:06:39.837 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:08:03.131 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:08:05.235 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:08:06.855 | INFO  | nukr.profile-state | Connecting Cris and nil
10:08:06.856 | INFO  | nukr.profile-state | Removing Cris from storage.
10:08:06.857 | INFO  | nukr.profile-state | Removing nil from storage.
10:08:06.857 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:08:06.857 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:09:30.802 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:09:33.147 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:09:34.854 | INFO  | nukr.profile-state | Connecting Cris and nil
10:09:34.856 | INFO  | nukr.profile-state | Removing Cris from storage.
10:09:34.857 | INFO  | nukr.profile-state | Removing nil from storage.
10:09:34.857 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:09:34.857 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:11:52.954 | INFO  | nukr.profile-state | Connecting lala and nil
10:11:52.957 | INFO  | nukr.profile-state | Removing lala from storage.
10:11:52.959 | INFO  | nukr.profile-state | Removing nil from storage.
10:11:52.959 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
10:11:52.959 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
10:14:02.416 | INFO  | nukr.profile-state | Connecting lala and nil
10:14:02.417 | INFO  | nukr.profile-state | Removing lala from storage.
10:14:02.417 | INFO  | nukr.profile-state | Removing nil from storage.
10:14:02.417 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
10:14:02.417 | INFO  | nukr.profile-state | Adding {:connections (nil nil)} to storage.
10:14:27.752 | INFO  | nukr.profile-state | Connecting lala and nil
10:14:27.753 | INFO  | nukr.profile-state | Removing lala from storage.
10:14:27.753 | INFO  | nukr.profile-state | Removing nil from storage.
10:14:27.753 | INFO  | nukr.profile-state | Adding {:connections (nil)} to storage.
10:14:27.753 | INFO  | nukr.profile-state | Adding {:connections (nil nil)} to storage.
10:15:11.605 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:15:13.742 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:15:15.204 | INFO  | nukr.profile-state | Connecting Cris and nil
10:15:15.207 | INFO  | nukr.profile-state | Removing Cris from storage.
10:15:15.208 | INFO  | nukr.profile-state | Removing nil from storage.
10:15:15.209 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:15:15.209 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:17:26.950 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:17:28.902 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:17:30.185 | INFO  | nukr.profile-state | Connecting Cris and nil
10:17:30.188 | INFO  | nukr.profile-state | Removing Cris from storage.
10:17:30.190 | INFO  | nukr.profile-state | Removing nil from storage.
10:17:30.191 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{nil}, :hidden false} to storage.
10:17:30.191 | INFO  | nukr.profile-state | Adding {:connections (Cris)} to storage.
10:20:23.145 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:20:25.080 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:20:26.403 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:20:26.407 | INFO  | nukr.profile-state | Removing Cris from storage.
10:20:26.407 | INFO  | nukr.profile-state | Removing Ed from storage.
10:20:26.409 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:20:26.409 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:20:58.702 | INFO  | nukr.profile-state | Adding {:name ED, :connections #{}, :hidden false} to storage.
10:21:00.813 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:21:02.612 | INFO  | nukr.profile-state | Connecting Cris and ED
10:21:02.615 | INFO  | nukr.profile-state | Removing Cris from storage.
10:21:02.616 | INFO  | nukr.profile-state | Removing ED from storage.
10:21:02.622 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{ED}, :hidden false} to storage.
10:21:02.623 | INFO  | nukr.profile-state | Adding {:name ED, :connections #{Cris}, :hidden false} to storage.
10:22:00.962 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:22:02.989 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:22:04.453 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:22:04.454 | INFO  | nukr.profile-state | Removing Cris from storage.
10:22:04.455 | INFO  | nukr.profile-state | Removing Ed from storage.
10:22:04.455 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{Ed}, :hidden false} to storage.
10:22:04.455 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{Cris}, :hidden false} to storage.
10:25:38.108 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
10:25:40.114 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
10:25:41.663 | INFO  | nukr.profile-state | Connecting Cris and Ed
10:25:41.664 | INFO  | nukr.profile-state | Removing Cris from storage.
10:25:41.664 | INFO  | nukr.profile-state | Removing Ed from storage.
